lastAppOpenAction lastAudioCable lastLocationChanged lastChargeCable lastWiFiConnected lastDataConnected lastBluetoothConnected lastLightChanged packName
AppOpenAction[com.supercell.clashroyale] null LocationChangedAction[] null null null null LightChangedAction[lighter] AppOpenAction[com.supercell.clashroyale]
AppOpenAction[com.supercell.clashroyale] null LocationChangedAction[] null null null null LightChangedAction[lighter] AppOpenAction[com.tencent.mm]
AppOpenAction[com.tencent.mm] null LocationChangedAction[] null null null null LightChangedAction[lighter] AppOpenAction[com.sina.weibo]
AppOpenAction[com.sina.weibo] null LocationChangedAction[] null null null null LightChangedAction[lighter] AppOpenAction[com.tencent.mm]
AppOpenAction[com.tencent.mm] null LocationChangedAction[] null null null null LightChangedAction[lighter] AppOpenAction[com.sina.weibo]
AppOpenAction[com.sina.weibo] null LocationChangedAction[] null null null null LightChangedAction[lighter] AppOpenAction[com.google.android.gms]
AppOpenAction[com.google.android.gms] null LocationChangedAction[] null null null null LightChangedAction[draker] AppOpenAction[com.sina.weibo]
AppOpenAction[com.sina.weibo] null LocationChangedAction[] null null null null LightChangedAction[draker] AppOpenAction[com.baidu.tieba]
AppOpenAction[com.baidu.tieba] null LocationChangedAction[] null null null null LightChangedAction[draker] AppOpenAction[com.google.android.gms]
AppOpenAction[com.google.android.gms] null LocationChangedAction[] null null null null LightChangedAction[draker] AppOpenAction[com.baidu.tieba]
AppOpenAction[com.baidu.tieba] null LocationChangedAction[] null null null null LightChangedAction[draker] AppOpenAction[com.tencent.mm]
AppOpenAction[com.tencent.mm] null LocationChangedAction[] ChargeCableAction[] null null null LightChangedAction[draker] AppOpenAction[com.tencent.mm]
AppOpenAction[com.tencent.mm] null LocationChangedAction[] ChargeCableAction[] null null null LightChangedAction[draker] AppOpenAction[com.baidu.tieba]
AppOpenAction[com.baidu.tieba] null LocationChangedAction[] ChargeCableAction[] null null null LightChangedAction[draker] AppOpenAction[com.android.dialer]
AppOpenAction[com.android.dialer] null LocationChangedAction[] ChargeCableAction[] null null null LightChangedAction[lighter] AppOpenAction[com.android.incallui]
AppOpenAction[com.android.incallui] null LocationChangedAction[] ChargeCableAction[] null null null LightChangedAction[lighter] AppOpenAction[com.google.android.gms]
AppOpenAction[com.google.android.gms] null LocationChangedAction[] ChargeCableAction[] null null null LightChangedAction[lighter] AppOpenAction[com.tencent.mm]
AppOpenAction[com.tencent.mm] null LocationChangedAction[] ChargeCableAction[] null null null LightChangedAction[lighter] AppOpenAction[com.youdao.dict]
AppOpenAction[com.youdao.dict] null LocationChangedAction[] ChargeCableAction[] null null null LightChangedAction[lighter] AppOpenAction[com.tencent.mm]
AppOpenAction[com.tencent.mm] null LocationChangedAction[] ChargeCableAction[] null null null LightChangedAction[lighter] AppOpenAction[com.tencent.mm]
AppOpenAction[com.tencent.mm] null LocationChangedAction[] ChargeCableAction[] null null null LightChangedAction[draker] AppOpenAction[com.tencent.mm]
AppOpenAction[com.tencent.mm] null LocationChangedAction[] ChargeCableAction[] WiFiConnectedAction["Lancelot"] null null LightChangedAction[draker] AppOpenAction[com.tencent.mm]
AppOpenAction[com.tencent.mm] null LocationChangedAction[] ChargeCableAction[] WiFiConnectedAction["Lancelot"] null null LightChangedAction[draker] AppOpenAction[com.google.android.gms]
AppOpenAction[com.google.android.gms] null LocationChangedAction[] null WiFiConnectedAction["Lancelot"] null null LightChangedAction[draker] AppOpenAction[com.android.incallui]
AppOpenAction[com.android.incallui] null LocationChangedAction[] null WiFiConnectedAction["Lancelot"] null null LightChangedAction[draker] AppOpenAction[com.android.incallui]
AppOpenAction[com.android.incallui] null LocationChangedAction[] null WiFiConnectedAction["Lancelot"] null null LightChangedAction[draker] AppOpenAction[com.tencent.mm]
AppOpenAction[com.tencent.mm] null LocationChangedAction[] null WiFiConnectedAction["Lancelot"] null null LightChangedAction[draker] AppOpenAction[com.tencent.mm]
AppOpenAction[com.tencent.mm] null LocationChangedAction[] null null null null LightChangedAction[draker] AppOpenAction[com.google.android.gms]
AppOpenAction[com.google.android.gms] null LocationChangedAction[] null null null null LightChangedAction[draker] AppOpenAction[com.sina.weibo]
AppOpenAction[com.sina.weibo] null LocationChangedAction[] null null null null LightChangedAction[draker] AppOpenAction[com.tencent.mm]
AppOpenAction[com.tencent.mm] null LocationChangedAction[] null null null null LightChangedAction[draker] AppOpenAction[com.supercell.clashroyale]
AppOpenAction[com.supercell.clashroyale] null LocationChangedAction[] null null null null LightChangedAction[draker] AppOpenAction[com.tencent.mm]
AppOpenAction[com.tencent.mm] null LocationChangedAction[] null null null null LightChangedAction[draker] AppOpenAction[com.supercell.clashroyale]
AppOpenAction[com.supercell.clashroyale] null LocationChangedAction[] null null null null LightChangedAction[draker] AppOpenAction[com.android.browser]
AppOpenAction[com.android.browser] null LocationChangedAction[] null null null null null AppOpenAction[com.tencent.mm]
AppOpenAction[com.tencent.mm] null LocationChangedAction[] null null null null null AppOpenAction[com.android.browser]
AppOpenAction[com.android.browser] null LocationChangedAction[] null null null null null AppOpenAction[com.supercell.clashroyale]
AppOpenAction[com.supercell.clashroyale] null LocationChangedAction[] null null null null null AppOpenAction[com.tencent.mm]
AppOpenAction[com.tencent.mm] null LocationChangedAction[] null null null null null AppOpenAction[com.supercell.clashroyale]
AppOpenAction[com.supercell.clashroyale] null LocationChangedAction[] null null null null null AppOpenAction[com.tencent.mm]
AppOpenAction[com.tencent.mm] null LocationChangedAction[] null null null null null AppOpenAction[com.sina.weibo]
AppOpenAction[com.sina.weibo] null LocationChangedAction[] null null null null null AppOpenAction[com.tencent.mm]
AppOpenAction[com.tencent.mm] null LocationChangedAction[] null null null null null AppOpenAction[com.sina.weibo]
AppOpenAction[com.sina.weibo] null LocationChangedAction[] null null null null null AppOpenAction[com.tencent.mm]
AppOpenAction[com.tencent.mm] null LocationChangedAction[] null null null null null AppOpenAction[com.sina.weibo]
AppOpenAction[com.sina.weibo] null LocationChangedAction[] null null null null null AppOpenAction[com.tencent.mm]
AppOpenAction[com.tencent.mm] null LocationChangedAction[] null null null null null AppOpenAction[com.sina.weibo]
AppOpenAction[com.sina.weibo] null LocationChangedAction[] null null null null null AppOpenAction[com.tencent.mm]
AppOpenAction[com.tencent.mm] null LocationChangedAction[] null null null null null AppOpenAction[com.sina.weibo]
AppOpenAction[com.sina.weibo] null LocationChangedAction[] null null null null null AppOpenAction[com.google.android.gms]
AppOpenAction[com.google.android.gms] null LocationChangedAction[] null null DataConnectedAction[] null null AppOpenAction[com.tencent.mm]
AppOpenAction[com.tencent.mm] null LocationChangedAction[] null null DataConnectedAction[] null null AppOpenAction[com.sina.weibo]
null null null null null null null null AppOpenAction[com.android.alarmclock]
AppOpenAction[com.android.alarmclock] null null null null null null null AppOpenAction[com.android.stk]
AppOpenAction[com.android.stk] null null null null null null null AppOpenAction[com.google.android.gms]
AppOpenAction[com.google.android.gms] null null null null DataConnectedAction[] null null AppOpenAction[com.supercell.clashroyale]
AppOpenAction[com.supercell.clashroyale] null LocationChangedAction[] null null DataConnectedAction[] null null AppOpenAction[com.google.android.gms]
AppOpenAction[com.google.android.gms] null LocationChangedAction[] null null DataConnectedAction[] null null AppOpenAction[com.sina.weibo]
AppOpenAction[com.sina.weibo] null LocationChangedAction[] null null DataConnectedAction[] null null AppOpenAction[com.android.mms]
AppOpenAction[com.android.mms] null LocationChangedAction[] null null DataConnectedAction[] null null AppOpenAction[com.google.android.gms]
AppOpenAction[com.google.android.gms] null null null null DataConnectedAction[] null null AppOpenAction[com.tencent.mm]
AppOpenAction[com.tencent.mm] null LocationChangedAction[] null null DataConnectedAction[] null null AppOpenAction[com.tencent.mm]
AppOpenAction[com.tencent.mm] null LocationChangedAction[] null null DataConnectedAction[] null null AppOpenAction[com.supercell.clashroyale]
AppOpenAction[com.supercell.clashroyale] null LocationChangedAction[] null null DataConnectedAction[] null null AppOpenAction[com.tencent.mm]
AppOpenAction[com.tencent.mm] null LocationChangedAction[] null null DataConnectedAction[] null null AppOpenAction[com.google.android.gms]
AppOpenAction[com.google.android.gms] null LocationChangedAction[] null WiFiConnectedAction["Lancelot"] DataConnectedAction[] null null AppOpenAction[com.chaozh.iReaderFree]
AppOpenAction[com.chaozh.iReaderFree] null LocationChangedAction[] null WiFiConnectedAction["Lancelot"] DataConnectedAction[] null null AppOpenAction[com.tencent.mm]
AppOpenAction[com.tencent.mm] null LocationChangedAction[] null WiFiConnectedAction["Lancelot"] DataConnectedAction[] null null AppOpenAction[com.android.browser]
AppOpenAction[com.android.browser] null LocationChangedAction[] null WiFiConnectedAction["Lancelot"] DataConnectedAction[] null null AppOpenAction[com.tencent.mm]
AppOpenAction[com.tencent.mm] null LocationChangedAction[] null WiFiConnectedAction["Lancelot"] DataConnectedAction[] null null AppOpenAction[com.android.browser]
AppOpenAction[com.android.browser] null LocationChangedAction[] null WiFiConnectedAction["Lancelot"] DataConnectedAction[] null null AppOpenAction[com.tencent.mm]
AppOpenAction[com.tencent.mm] null LocationChangedAction[] null WiFiConnectedAction["Lancelot"] DataConnectedAction[] null null AppOpenAction[com.tencent.mobileqq]
AppOpenAction[com.tencent.mobileqq] null LocationChangedAction[] null WiFiConnectedAction["Lancelot"] DataConnectedAction[] null null AppOpenAction[com.tencent.mm]
AppOpenAction[com.tencent.mm] null LocationChangedAction[] null WiFiConnectedAction["Lancelot"] DataConnectedAction[] null null AppOpenAction[com.meizu.media.camera]
AppOpenAction[com.meizu.media.camera] null LocationChangedAction[] null WiFiConnectedAction["Lancelot"] DataConnectedAction[] null null AppOpenAction[com.tencent.mm]
AppOpenAction[com.tencent.mm] null LocationChangedAction[] null WiFiConnectedAction["Lancelot"] DataConnectedAction[] null null AppOpenAction[com.meizu.media.camera]
AppOpenAction[com.meizu.media.camera] null LocationChangedAction[] null WiFiConnectedAction["Lancelot"] DataConnectedAction[] null null AppOpenAction[com.tencent.mm]
AppOpenAction[com.tencent.mm] null LocationChangedAction[] null WiFiConnectedAction["Lancelot"] DataConnectedAction[] null null AppOpenAction[com.tmri.app.main]
AppOpenAction[com.tmri.app.main] null LocationChangedAction[] ChargeCableAction[] WiFiConnectedAction["Lancelot"] DataConnectedAction[] null null AppOpenAction[com.sina.weibo]
AppOpenAction[com.sina.weibo] null LocationChangedAction[] ChargeCableAction[] WiFiConnectedAction["Lancelot"] DataConnectedAction[] null null AppOpenAction[com.tencent.mm]
AppOpenAction[com.tencent.mm] null LocationChangedAction[] ChargeCableAction[] WiFiConnectedAction["Lancelot"] DataConnectedAction[] null null AppOpenAction[com.supercell.clashroyale]
AppOpenAction[com.supercell.clashroyale] null LocationChangedAction[] ChargeCableAction[] WiFiConnectedAction["Lancelot"] DataConnectedAction[] null null AppOpenAction[com.tencent.mm]
AppOpenAction[com.tencent.mm] null LocationChangedAction[] ChargeCableAction[] WiFiConnectedAction["Lancelot"] DataConnectedAction[] null null AppOpenAction[com.tencent.mm]
AppOpenAction[com.tencent.mm] null LocationChangedAction[] ChargeCableAction[] WiFiConnectedAction["Lancelot"] DataConnectedAction[] null null AppOpenAction[com.tencent.mm]
AppOpenAction[com.tencent.mm] null LocationChangedAction[] ChargeCableAction[] WiFiConnectedAction["Lancelot"] DataConnectedAction[] null null AppOpenAction[com.meizu.media.gallery]
AppOpenAction[com.meizu.media.gallery] null LocationChangedAction[] ChargeCableAction[] WiFiConnectedAction["Lancelot"] DataConnectedAction[] null null AppOpenAction[com.sina.weibo]
AppOpenAction[com.sina.weibo] null LocationChangedAction[] ChargeCableAction[] WiFiConnectedAction[<unknown] null null null AppOpenAction[com.sina.weibo]
AppOpenAction[com.sina.weibo] null LocationChangedAction[] ChargeCableAction[] WiFiConnectedAction[<unknown] null null LightChangedAction[lighter] AppOpenAction[com.google.android.gms]
